game,feature,target,balanced_acc,chance,null_mean,p_value,p_holm,decodable
tn36,pixel,reward_imminence,0.5372,0.5,0.5,0.0004997501249375312,0.04498,True
tn36,pixel,reward_proximity,0.6751,0.5,0.5,0.0004997501249375312,0.04498,True
tn36,pixel,time_since_reset,0.4772,0.2,0.1999,0.0004997501249375312,0.04498,True
tn36,clock,level_id,0.538,0.1429,0.1428,0.0004997501249375312,0.04498,True
tn36,clock,transition,0.5,0.5,0.5083,1.0,1.0,False
tn36,clock,reward_imminence,0.5,0.5,0.5,1.0,1.0,False
tn36,clock,reward_proximity,0.5,0.5,0.5,1.0,1.0,False
tn36,clock,time_since_reset,1.0,0.2,0.2,0.0004997501249375312,0.04498,True
vc33,deter,level_id,0.4658,0.1429,0.1423,0.001996007984031936,,
vc33,deter,transition,0.7523,0.5,0.5026,0.001996007984031936,,
vc33,deter,reward_imminence,0.6225,0.5,0.5002,0.001996007984031936,,
vc33,deter,reward_proximity,0.6177,0.5,0.5007,0.001996007984031936,,
vc33,deter,time_since_reset,0.5913,0.2,0.2,0.001996007984031936,,
vc33,stoch,level_id,0.3511,0.1429,0.143,0.001996007984031936,,
vc33,stoch,transition,0.6557,0.5,0.5035,0.001996007984031936,,
vc33,stoch,reward_imminence,0.5278,0.5,0.4999,0.001996007984031936,,
vc33,stoch,reward_proximity,0.601,0.5,0.5001,0.001996007984031936,,
vc33,stoch,time_since_reset,0.4568,0.2,0.2001,0.001996007984031936,,
vc33,both,level_id,0.4674,0.1429,0.1429,0.0004997501249375312,0.04498,True
vc33,both,transition,0.8017,0.5,0.5031,0.0004997501249375312,0.04498,True
vc33,both,reward_imminence,0.6319,0.5,0.4994,0.0004997501249375312,0.04498,True
vc33,both,reward_proximity,0.6649,0.5,0.4998,0.0004997501249375312,0.04498,True
vc33,both,time_since_reset,0.574,0.2,0.2001,0.0004997501249375312,0.04498,True
vc33,pixel,level_id,0.3079,0.1429,0.143,0.0004997501249375312,0.04498,True
vc33,pixel,transition,0.6523,0.5,0.5035,0.0004997501249375312,0.04498,True
vc33,pixel,reward_imminence,0.8103,0.5,0.5,0.0004997501249375312,0.04498,True
vc33,pixel,reward_proximity,0.8384,0.5,0.5,0.0004997501249375312,0.04498,True
vc33,pixel,time_since_reset,0.3836,0.2,0.2,0.0004997501249375312,0.04498,True
vc33,clock,level_id,0.3743,0.1429,0.1429,0.0004997501249375312,0.04498,True
vc33,clock,transition,0.5,0.5,0.5035,1.0,1.0,False
vc33,clock,reward_imminence,0.5,0.5,0.5,1.0,1.0,False
vc33,clock,reward_proximity,0.5,0.5,0.5,1.0,1.0,False
vc33,clock,time_since_reset,1.0,0.2,0.2001,0.0004997501249375312,0.04498,True
