batch,arm,game,seed,done,step,train_eps,train_clears,norm_entropy,image_loss,periodic_n,periodic_clears,periodic_official,periodic_harness,e100_n,e100_clear_rate,e100_lo,e100_hi,e100_official,e100_official_mean,e100_levels_max
sweep,cold,ft09,0,True,499999,1380,18,0.9272784061621928,1.1564620646877566,7,1,0.04762,0.115,100,0.98,0.93,0.9945,0.04762,0.04667,1
sweep,cold,ft09,1,True,499873,1293,18,0.9231330432595998,1.1777647889226022,6,0,0.0,0.0,100,0.2,0.1334,0.2888,0.04762,0.00095,1
sweep,cold,ft09,2,True,499866,1313,20,0.8428270392280688,1.1559107529816868,6,1,0.04762,0.115,100,0.96,0.9016,0.9843,0.04762,0.04571,1
sweep,cold,g50t,0,True,498848,3814,0,0.9999999403953552,0.1487502305340158,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,g50t,1,True,498848,3814,0,0.9999999403953552,0.12030779169156001,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,g50t,2,True,498848,3814,0,0.9999999403953552,0.07631388774318416,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,ka59,0,True,499725,4950,0,0.9999999425627969,0.5143181251395832,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,ka59,1,True,499680,4950,0,0.9999999416911084,0.44077763404103293,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,ka59,2,True,499696,4949,0,0.9999999431926851,0.47817192794183533,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,lp85,0,True,497081,521,17,0.9386400489219978,4.02793994234569,21,4,0.00202,0.00058,100,1.0,0.963,1.0,0.02778,0.02778,1
sweep,cold,lp85,1,True,499168,522,17,0.9432861242590651,3.99569991887626,25,4,0.00013,4e-05,100,0.02,0.0055,0.07,0.00737,8e-05,1
sweep,cold,lp85,2,True,499820,525,17,0.9721077519856142,4.117857758918505,18,3,0.02778,0.01889,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,m0r0,0,True,498560,3286,0,0.9999999434078644,2.395382343270288,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,m0r0,1,True,498560,3286,0,0.9999999432233129,2.020087118131401,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,m0r0,2,True,499008,3286,0,0.999999941252976,2.793142087007169,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,r11l,0,True,499997,25692,18,0.9975080101861866,39.34330496656786,8,2,0.04762,0.05476,100,0.1,0.0552,0.1744,0.04762,0.00254,1
sweep,cold,r11l,1,True,499989,25500,16,0.9911946328701796,37.94577750453242,10,0,0.0,0.0,100,0.01,0.0018,0.0545,0.0119,0.00012,1
sweep,cold,r11l,2,True,499972,25588,16,0.9984008116959446,39.270213407628674,13,0,0.0,0.0,100,0.38,0.291,0.4779,0.04762,0.01138,1
sweep,cold,re86,0,True,499392,502,0,0.9999999403953552,0.19436433837082887,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,re86,1,True,497104,502,0,0.999999940611314,0.15589193141330843,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,re86,2,True,496496,502,0,0.9999999421356368,0.21551902399119668,24,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,s5i5,0,True,499996,9784,0,0.9999999403953552,0.2329850064141907,22,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
sweep,cold,s5i5,1,True,499978,9783,0,0.9999999403953552,1.5909502568529612,20,0,0.0,0.0,100,0.0,0.0,0.037,0.0,0.0,0
